% From time = 0 to 1000 kyr BP.  With month = June.
% With latitude = 65 degrees (north>0, south<0). 
% With solar constant = 1365 W/m2
%time(ka_before_present)	insolation(W/m^2)
0	473.841709
1	474.6716866
2	477.0044213
3	480.7004931
4	485.5768946
5	491.5280956
6	497.9402237
7	504.4104638
8	510.4980735
9	515.5500858
10	519.1101278
11	521.0328918
12	520.8006683
13	518.5893812
14	514.4988961
15	508.723027
16	501.7222625
17	494.0613654
18	486.1302373
19	478.5203626
20	471.7728417
21	466.0926072
22	461.893069
23	459.3134422
24	458.3118356
25	458.8209043
26	460.7976863
27	463.7065429
28	467.5080243
29	471.7299642
30	476.0382846
31	480.1948693
32	484.0138769
33	487.1661924
34	489.7408864
35	491.6605303
36	492.8757643
37	493.5710343
38	493.8549283
39	493.6817295
40	493.3712132
41	492.9049031
42	492.3448289
43	491.8643171
44	491.5022289
45	491.1814564
46	491.1840495
47	491.3497168
48	491.7876725
49	492.5400169
50	493.6492308
51	494.9287462
52	496.6243202
53	498.4343477
54	500.3057915
55	502.18801
56	503.7952711
57	504.8958068
58	505.4488759
59	505.0575442
60	503.6415946
61	501.1749894
62	497.4753165
63	492.7089314
64	487.0570748
65	480.7277812
66	474.0380655
67	467.5275846
68	461.4402291
69	456.315118
70	452.5335499
71	450.3573547
72	450.0295492
73	451.7693638
74	455.4048876
75	460.9707777
76	468.1245444
77	476.523751
78	485.6517255
79	495.0309676
80	503.9316789
81	511.8584458
82	518.2144738
83	522.5200882
84	524.483951
85	524.0324639
86	521.099208
87	516.0691435
88	509.3291878
89	501.417591
90	493.0284038
91	484.8746223
92	477.5236275
93	471.6808225
94	467.7609494
95	466.1070838
96	466.8649658
97	470.0980743
98	475.4182076
99	482.5980164
100	490.9215618
101	499.6442673
102	507.9889411
103	515.0222075
104	519.8884448
105	522.0290308
106	520.9186646
107	516.4623205
108	508.9565564
109	498.8487573
110	487.0470752
111	474.52815
112	462.3864434
113	451.6188779
114	443.2257629
115	437.8242418
116	435.9511998
117	437.7783998
118	443.2377766
119	452.0109531
120	463.4801194
121	476.883426
122	491.237363
123	505.4847027
124	518.5961856
125	529.586452
126	537.6657062
127	542.3707525
128	543.409647
129	540.9163088
130	535.2772953
131	527.0503128
132	517.0510407
133	506.0658396
134	494.9491268
135	484.4234355
136	475.1772768
137	467.6205477
138	462.1295839
139	458.8499342
140	457.7429425
141	458.713325
142	461.4886883
143	465.6639147
144	470.8998976
145	476.6738346
146	482.5479444
147	488.0858283
148	492.9435984
149	496.7558791
150	499.3855415
151	500.6856448
152	500.6450611
153	499.3212678
154	496.9171553
155	493.5243391
156	489.5163373
157	485.0954844
158	480.5780345
159	476.2933303
160	472.5516534
161	469.6102522
162	467.7778939
163	467.2699329
164	468.2104441
165	470.7407077
166	474.8717292
167	480.3994888
168	487.26194
169	495.0249946
170	503.2630794
171	511.4846836
172	519.1048252
173	525.3909739
174	529.9544761
175	532.1258215
176	531.6276087
177	528.3169905
178	522.2574044
179	513.651172
180	503.1654275
181	491.3752123
182	479.0270785
183	467.1529989
184	456.3570712
185	447.5070927
186	441.2174465
187	437.883183
188	437.7237462
189	440.9486329
190	447.1449839
191	456.0847867
192	467.1171093
193	479.4023537
194	492.0117093
195	504.055492
196	514.3623928
197	522.2116332
198	526.9877945
199	528.1936771
200	525.9214603
201	520.5244492
202	512.433335
203	502.6525866
204	492.0364071
205	481.5898027
206	472.2173718
207	464.8538556
208	459.9359912
209	458.0802263
210	459.4290783
211	463.9370414
212	471.3630109
213	481.3372743
214	492.9170831
215	505.469556
216	517.8519229
217	528.9173689
218	537.7444693
219	543.3848996
220	545.0212046
221	542.5124208
222	535.8097356
223	525.2327797
224	511.7569562
225	496.332044
226	480.0903957
227	464.473152
228	450.5290049
229	439.1807028
230	431.4144163
231	427.4947442
232	427.6565575
233	431.8886576
234	439.6776914
235	450.342169
236	463.2105644
237	477.0147732
238	490.7951459
239	503.5414642
240	514.2624581
241	522.2191007
242	527.2511045
243	528.9630953
244	527.7464794
245	524.0496685
246	518.3560098
247	511.4502946
248	504.1085432
249	496.8269333
250	490.2653893
251	484.8636396
252	480.7958153
253	478.206021
254	477.2050033
255	477.4571921
256	478.9127399
257	481.277806
258	484.1646321
259	487.3115537
260	490.5622688
261	493.3927938
262	495.8846714
263	497.7749137
264	498.9203565
265	499.3711014
266	499.1017983
267	497.9826869
268	496.1755082
269	493.7067181
270	490.4492928
271	486.6997862
272	482.4618513
273	477.8309816
274	473.1324334
275	468.5973727
276	464.3766668
277	461.0192241
278	458.675108
279	457.6336947
280	458.2532408
281	460.5892163
282	464.6552989
283	470.5013551
284	477.8318861
285	486.2230544
286	495.391536
287	504.5811505
288	513.1519148
289	520.6268278
290	526.1777163
291	529.4164413
292	530.0815199
293	527.940535
294	523.1615594
295	516.179138
296	507.3763123
297	497.5332868
298	487.4177344
299	477.7289036
300	469.1941217
301	462.5049568
302	458.0066007
303	456.0287488
304	456.7357292
305	459.8952475
306	465.2773945
307	472.4190399
308	480.555945
309	489.0287452
310	496.9897366
311	503.6321793
312	508.2649916
313	510.514107
314	509.9731395
315	506.8317952
316	501.3937293
317	494.1600487
318	485.923746
319	477.5627053
320	469.7383421
321	463.365054
322	458.9980594
323	457.00557
324	457.7272817
325	461.1439413
326	467.0358085
327	475.086853
328	484.716124
329	495.1733856
330	505.7320386
331	515.5636675
332	523.7475397
333	529.80828
334	533.0440749
335	533.2767255
336	530.4920264
337	524.9061347
338	516.9528763
339	507.426784
340	496.9329016
341	486.3913471
342	476.5375765
343	468.0387278
344	461.4277861
345	457.0312837
346	455.038262
347	455.2993359
348	457.6838603
349	461.6541802
350	466.7798706
351	472.3673057
352	477.8997046
353	482.7206834
354	486.5223865
355	488.9755908
356	490.0733226
357	489.9143411
358	488.8373432
359	487.1655467
360	485.4229209
361	483.9731013
362	483.1904405
363	483.3269795
364	484.5072689
365	486.6617323
366	489.6985023
367	493.2597408
368	497.0966387
369	500.6850094
370	503.7965676
371	505.9492308
372	507.0463164
373	506.8825663
374	505.5512883
375	503.1679449
376	500.0625935
377	496.4975682
378	492.9382682
379	489.671284
380	487.0474767
381	485.2338049
382	484.3652441
383	484.3482596
384	485.0646381
385	486.2447616
386	487.5053548
387	488.5219284
388	488.9343212
389	488.4208264
390	486.8795293
391	484.2612059
392	480.6710721
393	476.4722997
394	471.98592
395	467.7165164
396	464.0974652
397	461.6423285
398	460.5413995
399	461.1880882
400	463.5005223
401	467.4473765
402	472.7646252
403	479.1135986
404	485.8856293
405	492.7545605
406	499.0225228
407	504.2968195
408	508.2330872
409	510.593899
410	511.2767436
411	510.4784574
412	508.3711871
413	505.2730098
414	501.7033125
415	497.9898219
416	494.4856138
417	491.6872361
418	489.592713
419	488.4574242
420	488.2400837
421	488.8080671
422	489.8903834
423	491.3516187
424	492.6633612
425	493.6462884
426	493.9683398
427	493.4055109
428	491.8368695
429	489.3785901
430	486.0452114
431	482.1433343
432	478.0930096
433	474.0891263
434	470.6744928
435	468.1405548
436	466.6985351
437	466.5365132
438	467.7711188
439	470.1307392
440	473.5712467
441	477.7447662
442	482.1981972
443	486.6211582
444	490.6549077
445	493.7988446
446	495.9962862
447	497.0765128
448	496.9066403
449	495.8242771
450	493.9598495
451	491.5714223
452	489.1975582
453	487.079106
454	485.5578178
455	484.9911303
456	485.5142102
457	487.0796462
458	489.7863742
459	493.2956047
460	497.2405662
461	501.3081141
462	504.9072368
463	507.4612016
464	508.7064788
465	508.1044687
466	505.4934727
467	501.0222076
468	494.773434
469	487.1975178
470	479.0316534
471	470.8157163
472	463.3375567
473	457.3641251
474	453.405666
475	451.8456484
476	453.1150442
477	456.982639
478	463.3558772
479	471.8335112
480	481.6274827
481	492.0014322
482	502.1552655
483	510.9841936
484	517.8116362
485	522.0878996
486	523.2195723
487	521.3273547
488	516.6735971
489	509.623728
490	501.0770742
491	491.909119
492	482.854478
493	474.9242299
494	468.8168255
495	464.8759274
496	463.6578931
497	465.0654327
498	468.959612
499	474.9766617
500	482.5653223
501	490.8324409
502	499.1271558
503	506.5189475
504	512.1794409
505	515.6374087
506	516.4573927
507	514.4585114
508	509.948988
509	503.3500747
510	495.1233558
511	486.2884064
512	477.3952291
513	469.2488201
514	462.4846336
515	457.5699224
516	454.6305577
517	453.9897166
518	455.3696578
519	458.5563971
520	463.3130574
521	469.0775466
522	475.3855962
523	481.9307251
524	488.1430897
525	493.7732995
526	498.6783883
527	502.638921
528	505.6421029
529	507.8606802
530	509.1996003
531	509.8919734
532	510.0181921
533	509.622064
534	508.6820537
535	507.4237122
536	505.5334903
537	503.1960482
538	500.3816906
539	497.0074036
540	493.2184019
541	489.2043614
542	484.967195
543	480.928395
544	477.2794168
545	474.2580452
546	472.1792969
547	471.2838081
548	471.569668
549	473.1889356
550	476.0171136
551	479.7411657
552	484.1394441
553	488.710951
554	492.9110612
555	496.3081995
556	498.4280423
557	498.824881
558	497.460248
559	494.209925
560	489.3561922
561	483.2276192
562	476.4866245
563	469.5865944
564	463.4087441
565	458.4489304
566	455.3297579
567	454.4835072
568	456.215137
569	460.5294863
570	467.4414495
571	476.5440896
572	487.37027
573	499.2240597
574	511.2760791
575	522.5586032
576	532.1953112
577	539.3006718
578	543.1588251
579	543.3853305
580	539.8796771
581	532.7164013
582	522.6779337
583	510.2923712
584	496.7594744
585	483.0567179
586	470.2820683
587	459.3429236
588	451.1561526
589	446.146702
590	444.7664781
591	447.009247
592	452.6721356
593	461.2855195
594	472.0871953
595	484.1465723
596	496.2991527
597	507.465232
598	516.4106185
599	522.3715891
600	524.5743278
601	522.9633685
602	517.5905383
603	509.1487238
604	498.4847576
605	486.7106666
606	474.9793067
607	464.4114865
608	455.897048
609	450.2255522
610	447.8098079
611	448.8018026
612	453.1518633
613	460.4565795
614	470.095448
615	481.3320726
