% Y. Wang et al. The Holocene Asian Monsoon: Links to Solar Changes 
%     and North Atlantic Climate. Science, 2005. DOI: 10.1126/science.1106296

% NB. Age is in kilo-years before 1950.

%Age	d18O
-0.050	-7.180
-0.040	-7.320
-0.027	-7.100
-0.015	-7.280
-0.002	-7.270
0.004	-7.520
0.010	-7.530
0.016	-8.070
0.021	-8.140
0.027	-7.760
0.033	-7.530
0.036	-7.520
0.038	-7.670
0.041	-7.560
0.044	-7.710
0.047	-7.490
0.049	-7.810
0.052	-7.610
0.055	-8.090
0.057	-7.650
0.060	-7.840
0.063	-7.420
0.064	-7.470
0.065	-7.970
0.066	-7.770
0.068	-7.610
0.071	-7.820
0.074	-7.510
0.076	-8.000
0.079	-7.490
0.082	-7.700
0.084	-7.510
0.087	-7.780
0.090	-7.690
0.092	-7.910
0.095	-7.720
0.098	-7.580
0.101	-7.540
0.103	-7.570
0.106	-7.540
0.109	-7.920
0.111	-7.440
0.114	-7.710
0.117	-7.570
0.119	-7.490
0.125	-7.660
0.130	-8.080
0.136	-7.590
0.141	-7.570
0.144	-7.750
0.146	-7.770
0.149	-7.840
0.151	-6.990
0.154	-7.640
0.156	-7.670
0.159	-7.530
0.162	-7.620
0.164	-7.630
0.167	-7.890
0.169	-7.570
0.172	-7.190
0.174	-7.370
0.177	-7.590
0.180	-7.470
0.182	-7.580
0.185	-7.570
0.187	-7.190
0.190	-7.070
0.192	-7.620
0.195	-7.650
0.198	-7.430
0.200	-7.680
0.203	-7.660
0.205	-7.410
0.208	-7.080
0.210	-7.200
0.213	-7.480
0.214	-7.160
0.215	-7.210
0.216	-7.190
0.217	-7.310
0.218	-7.520
0.219	-7.250
0.220	-7.440
0.221	-7.550
0.222	-7.590
0.223	-7.440
0.224	-7.170
0.225	-7.340
0.226	-7.490
0.227	-7.670
0.228	-7.320
0.229	-7.390
0.236	-7.180
0.243	-6.960
0.249	-7.380
0.256	-7.190
0.263	-7.350
0.270	-7.520
0.276	-7.440
0.283	-7.210
0.290	-7.600
0.297	-7.470
0.304	-7.210
0.310	-7.460
0.317	-7.400
0.324	-7.610
0.331	-7.260
0.337	-7.000
0.344	-6.950
0.351	-6.640
0.358	-7.140
0.364	-7.260
0.371	-7.290
0.378	-7.210
0.384	-7.410
0.389	-7.430
0.395	-7.390
0.401	-7.350
0.407	-7.470
0.412	-7.190
