%% File Creation: 2010-07-14 12:46:36
% File Content: 
%   Please refer to the species-specific README file in the
%   appropriate directory folder at ftp://ftp.cmdl.noaa.gov/ccg.
% Contact: 
%   Compound: CO2 (In Situ)
%   Pieter Tans
%   tel: (303) 497-6678
%   email: Pieter.Tans@noaa.gov

% year month day value stddev #hours_averaged
1974  5  1  -999.99 -9.99  0
1974  5  2  -999.99 -9.99  0
1974  5  3  -999.99 -9.99  0
1974  5  4  -999.99 -9.99  0
1974  5  5  -999.99 -9.99  0
1974  5  6  -999.99 -9.99  0
1974  5  7  -999.99 -9.99  0
1974  5  8  -999.99 -9.99  0
1974  5  9  -999.99 -9.99  0
1974  5 10  -999.99 -9.99  0
1974  5 11  -999.99 -9.99  0
1974  5 12  -999.99 -9.99  0
1974  5 13  -999.99 -9.99  0
1974  5 14  -999.99 -9.99  0
1974  5 15  -999.99 -9.99  0
1974  5 16  -999.99 -9.99  0
1974  5 17   333.32  0.15 16
1974  5 18   333.35  0.20  8
1974  5 19   333.44  0.12 16
1974  5 20   333.46  0.22 19
1974  5 21   333.24  0.17 11
1974  5 22   333.19  0.13 15
1974  5 23   333.20  0.19 14
1974  5 24   333.30  0.24  6
1974  5 25   333.22  0.26  8
1974  5 26   333.26  0.14 17
1974  5 27   332.81  0.10 14
1974  5 28   332.42  0.10 17
1974  5 29   332.71  0.23 17
1974  5 30   333.24  0.18 17
1974  5 31   333.19  0.23 22
1974  6  1  -999.99 -9.99  0
1974  6  2  -999.99 -9.99  0
1974  6  3  -999.99 -9.99  0
1974  6  4   332.61  0.28  6
1974  6  5   332.27  0.30  7
1974  6  6   331.87  0.10 20
1974  6  7   332.05  0.17 22
1974  6  8   332.01  0.11 22
1974  6  9   332.35  0.09 19
1974  6 10   332.24  0.15 11
1974  6 11   332.14  0.16 10
1974  6 12   332.02  0.11 15
1974  6 13   331.85  0.16 14
1974  6 14   332.49  0.14 14
1974  6 15   332.05  0.19 19
1974  6 16   332.07  0.12 12
1974  6 17   332.17  0.10 13
1974  6 18   332.37  0.17  5
1974  6 19   332.17  0.24  6
1974  6 20   332.30  0.12 15
1974  6 21   332.46  0.19 22
1974  6 22   332.34  0.08 22
1974  6 23   332.23  0.22 24
1974  6 24   331.69  0.16 15
1974  6 25   331.98  0.17 12
1974  6 26   331.63  0.21  4
1974  6 27   331.39  0.23 10
1974  6 28   331.55  0.18 14
1974  6 29   331.49  0.13 13
1974  6 30   331.81  0.16 16
1974  7  1   331.69  0.26 11
1974  7  2   331.42  0.11 15
1974  7  3   331.53  0.17  7
1974  7  4   331.68  0.10 23
1974  7  5   331.56  0.12 24
1974  7  6   331.50  0.08 22
1974  7  7   331.27  0.22 11
1974  7  8   331.46  0.25 13
1974  7  9   331.61  0.20 21
1974  7 10   331.44  0.11 22
1974  7 11   331.51  0.18 18
1974  7 12   331.24  0.10 20
1974  7 13   331.24  0.13 21
1974  7 14   331.10  0.26  6
1974  7 15   331.04  0.29 12
1974  7 16   330.84  0.15 15
1974  7 17   330.32  0.22  9
1974  7 18   330.74  0.22  9
1974  7 19   330.47  0.04  4
1974  7 20   330.68  0.13 14
1974  7 21   330.65  0.08  4
1974  7 22   330.68  0.23 10
1974  7 23   330.77  0.13 11
1974  7 24   331.18  0.16 18
1974  7 25   331.22  0.08 19
1974  7 26   330.50  0.19  8
1974  7 27   330.44  0.14 17
1974  7 28   330.37  0.28 13
1974  7 29   330.38  0.06  4
1974  7 30   330.14  0.19  9
1974  7 31   329.96  0.22 13
1974  8  1   329.63  0.12 20
1974  8  2   329.66  0.17 23
1974  8  3   329.79  0.13 19
1974  8  4   330.12  0.19 23
1974  8  5   330.47  0.11  4
1974  8  6   329.99  0.25  5
1974  8  7   330.23  0.08  2
1974  8  8   330.15  0.08 11
1974  8  9   329.74  0.13 10
1974  8 10   329.31  0.18 12
1974  8 11   329.21  0.12 16
1974  8 12   329.37  0.12 24
1974  8 13   329.32  0.12 20
1974  8 14   328.92  0.20  5
1974  8 15   328.76  0.26  8
1974  8 16   329.14  0.11  5
1974  8 17   329.31  0.23 14
1974  8 18   329.26  0.24 13
1974  8 19   329.19  0.29 16
1974  8 20   329.07  0.11  8
1974  8 21   329.15  0.29 10
1974  8 22   328.53  0.08  3
1974  8 23   328.76  0.17 12
1974  8 24   328.59  0.24  9
1974  8 25   328.69  0.16 17
1974  8 26   328.86  0.12 17
1974  8 27   328.36  0.13 14
1974  8 28   328.02  0.15 18
1974  8 29   328.17  0.12 13
1974  8 30   328.26  0.13 23
1974  8 31   328.10  0.23 18
1974  9  1   327.93  0.22  8
1974  9  2   327.68  0.11  3
1974  9  3   328.08  0.15 11
1974  9  4   328.20  0.13  2
1974  9  5   328.15  0.18  8
1974  9  6   327.90  0.25 17
1974  9  7   327.89  0.13 19
1974  9  8   328.00  0.21 17
1974  9  9   327.84  0.18 21
1974  9 10   327.81  0.09 13
1974  9 11   327.57  0.30 10
1974  9 12   327.96  0.24  8
1974  9 13   327.65  0.04  2
1974  9 14   327.22  0.26 17
1974  9 15   327.12  0.20 22
1974  9 16  -999.99 -9.99  0
1974  9 17   326.83  0.23  6
1974  9 18   326.83  0.12 11
1974  9 19   327.01  0.23 22
1974  9 20   326.86  0.24 16
1974  9 21   326.68  0.23 16
1974  9 22   326.64  0.17  9
1974  9 23   326.45  0.08  9
1974  9 24   326.42  0.11 13
1974  9 25   326.72  0.24 11
1974  9 26   327.28  0.16  9
1974  9 27   327.48  0.14  6
1974  9 28   327.72  0.19  9
1974  9 29   327.32  0.19 19
1974  9 30   327.58  0.27 17
1974 10  1   327.54  0.15 18
1974 10  2   327.24  0.25  5
1974 10  3   327.18  0.27  4
1974 10  4   326.98  0.22  3
1974 10  5   326.70  0.17 17
1974 10  6   326.91  0.23 18
1974 10  7   327.03  0.16 11
1974 10  8   327.18  0.20 15
1974 10  9   326.89  0.20  6
1974 10 10   326.98  0.23 13
1974 10 11   326.74  0.28 15
1974 10 12   327.12  0.24 14
1974 10 13   327.15  0.16 14
1974 10 14   327.22  0.08 13
1974 10 15   326.29  0.07  3
1974 10 16   327.26  0.07  6
